2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 1454 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 20.42.73.28, Size: 1454 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 1454 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 20.42.73.28, Size: 1454 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 973 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 20.42.73.28, Size: 973 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 157 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 157 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 56 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 56 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 157 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 157 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 518 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 518 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 518 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 518 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 52.168.117.171, Size: 54 bytes
